number,interior_page,batch,subject,expected_filename,fact
29,65,B029,New Forest Pony,29_new_forest_pony.png,New Forest ponies are versatile British ponies that live semi-wild in the New Forest.
30,67,B029,Fell Pony,30_fell_pony.png,Fell ponies are sturdy British ponies historically used as pack animals.
31,69,B030,Dales Pony,31_dales_pony.png,Dales ponies are strong northern English ponies with thick manes and tails.
32,71,B030,Highland Pony,32_highland_pony.png,Highland ponies are hardy Scottish ponies built for rough terrain and cold weather.
33,73,B030,Miniature Horse,33_miniature_horse.png,Miniature horses are selectively bred to be very small while keeping horse-like proportions.
34,75,B030,Falabella,34_falabella.png,Falabellas are one of the smallest horse breeds in the world.
35,77,B030,Akhal-Teke,35_akhal_teke.png,Akhal-Tekes are slender horses from Central Asia known for metallic-looking coats.
36,79,B030,Marwari,36_marwari.png,Marwari horses from India are known for inward-curving ear tips.
37,81,B030,Kathiawari,37_kathiawari.png,Kathiawari horses from India also have distinctive curved ears.
38,83,B030,Criollo,38_criollo.png,Criollo horses of South America are known for toughness and endurance.
39,85,B030,Mangalarga Marchador,39_mangalarga_marchador.png,Mangalarga Marchadors are Brazilian gaited horses known for smooth travel.
40,87,B030,Peruvian Paso,40_peruvian_paso.png,Peruvian Pasos are naturally gaited horses with a smooth ride.
41,89,B030,American Bashkir Curly,41_american_bashkir_curly.png,American Bashkir Curly horses are known for naturally curly winter coats.
42,91,B030,Rocky Mountain Horse,42_rocky_mountain_horse.png,Rocky Mountain horses are gaited horses often seen with chocolate coats and flaxen manes.
43,93,B030,Kentucky Mountain Saddle Horse,43_kentucky_mountain_saddle_horse.png,Kentucky Mountain Saddle Horses are calm gaited horses developed for mountain travel.
44,95,B030,Canadian Horse,44_canadian_horse.png,"Canadian horses are hardy, strong horses developed in Canada."
45,97,B030,Dutch Warmblood,45_dutch_warmblood.png,Dutch warmbloods are athletic sport horses often used in jumping and dressage.
46,99,B030,Hanoverian,46_hanoverian.png,Hanoverians are German warmbloods known for success in sport horse events.
47,101,B030,Holsteiner,47_holsteiner.png,Holsteiners are German sport horses especially known for jumping.
48,103,B030,Oldenburg,48_oldenburg.png,Oldenburgs are powerful German warmbloods bred for riding sports.
49,105,B030,Trakehner,49_trakehner.png,Trakehners are refined warmblood horses known for athleticism and endurance.
50,107,B030,Selle Français,50_selle_francais.png,Selle Français horses are French sport horses famous for jumping ability.
51,109,B030,Irish Sport Horse,51_irish_sport_horse.png,Irish sport horses are versatile athletes often used in eventing and jumping.
52,111,B030,Irish Draught,52_irish_draught.png,"Irish Draught horses are strong, sensible horses developed for farm and riding work."
53,113,B030,Cleveland Bay,53_cleveland_bay.png,Cleveland Bays are an old British breed known for solid bay coloring.
54,115,B030,Suffolk Punch,54_suffolk_punch.png,Suffolk Punch horses are chestnut draft horses developed for farm work.
55,117,B030,American Cream Draft,55_american_cream_draft.png,American Cream Draft horses are known for cream coats and amber eyes.
56,119,B030,Noriker,56_noriker.png,Noriker horses are sturdy Alpine draft horses that can have spotted coats.
57,121,B030,Comtois,57_comtois.png,Comtois horses are compact French draft horses from mountain regions.
58,123,B030,Ardennes,58_ardennes.png,Ardennes horses are powerful draft horses from the Ardennes region of Europe.
59,125,B030,Breton,59_breton.png,Breton horses are strong French draft horses with compact builds.
60,127,B030,Hackney Horse,60_hackney_horse.png,Hackney horses are known for stylish high-stepping movement in harness.
